Temp,Vdd,fcnt_nd_slvt,fcnt_nd_lvt,fcnt_nd_rvt,fcnt_inv_slvt,fcnt_inv_lvt,fcnt_inv_rvt,fcnt_nr_slvt,fcnt_nr_lvt,fcnt_nr_rvt,fcnt_egu,fcnt_egv,fcnt_eg
-10,0.62,6.24e-11,8.52e-11,1.61e-10,1.19e-11,1.63e-11,2.52e-11,6.26e-11,9.04e-11,1.35e-10,1.22e-09,1.23e-09,1.25e-09
-5,0.62,6.2e-11,8.44e-11,1.59e-10,1.19e-11,1.62e-11,2.5e-11,6.18e-11,8.92e-11,1.33e-10,1.21e-09,1.22e-09,1.24e-09
0,0.62,6.16e-11,8.37e-11,1.57e-10,1.18e-11,1.61e-11,2.48e-11,6.11e-11,8.8e-11,1.32e-10,1.2e-09,1.21e-09,1.23e-09
5,0.62,6.12e-11,8.3e-11,1.55e-10,1.18e-11,1.6e-11,2.45e-11,6.04e-11,8.68e-11,1.3e-10,1.18e-09,1.2e-09,1.22e-09
10,0.62,6.08e-11,8.22e-11,1.53e-10,1.17e-11,1.59e-11,2.43e-11,5.97e-11,8.57e-11,1.28e-10,1.17e-09,1.19e-09,1.2e-09
15,0.62,6.04e-11,8.15e-11,1.51e-10,1.17e-11,1.58e-11,2.41e-11,5.9e-11,8.46e-11,1.27e-10,1.16e-09,1.18e-09,1.19e-09
20,0.62,6e-11,8.07e-11,1.49e-10,1.16e-11,1.57e-11,2.38e-11,5.83e-11,8.35e-11,1.25e-10,1.15e-09,1.16e-09,1.18e-09
25,0.62,5.95e-11,8e-11,1.46e-10,1.15e-11,1.56e-11,2.36e-11,5.76e-11,8.24e-11,1.24e-10,1.14e-09,1.15e-09,1.17e-09
30,0.62,5.91e-11,7.93e-11,1.44e-10,1.15e-11,1.55e-11,2.34e-11,5.69e-11,8.13e-11,1.23e-10,1.13e-09,1.14e-09,1.16e-09
35,0.62,5.86e-11,7.85e-11,1.42e-10,1.14e-11,1.54e-11,2.32e-11,5.62e-11,8.03e-11,1.21e-10,1.12e-09,1.13e-09,1.15e-09
40,0.62,5.82e-11,7.78e-11,1.4e-10,1.14e-11,1.53e-11,2.29e-11,5.55e-11,7.92e-11,1.2e-10,1.11e-09,1.12e-09,1.15e-09
45,0.62,5.77e-11,7.7e-11,1.39e-10,1.13e-11,1.52e-11,2.27e-11,5.48e-11,7.82e-11,1.19e-10,1.1e-09,1.11e-09,1.14e-09
50,0.62,5.73e-11,7.63e-11,1.37e-10,1.13e-11,1.51e-11,2.25e-11,5.41e-11,7.71e-11,1.18e-10,1.09e-09,1.1e-09,1.13e-09
55,0.62,5.68e-11,7.55e-11,1.35e-10,1.12e-11,1.5e-11,2.23e-11,5.34e-11,7.61e-11,1.17e-10,1.08e-09,1.09e-09,1.12e-09
60,0.62,5.63e-11,7.48e-11,1.33e-10,1.12e-11,1.49e-11,2.2e-11,5.27e-11,7.5e-11,1.16e-10,1.07e-09,1.08e-09,1.11e-09
65,0.62,5.58e-11,7.4e-11,1.31e-10,1.11e-11,1.48e-11,2.18e-11,5.2e-11,7.4e-11,1.14e-10,1.06e-09,1.07e-09,1.1e-09
70,0.62,5.53e-11,7.32e-11,1.29e-10,1.11e-11,1.47e-11,2.16e-11,5.13e-11,7.29e-11,1.13e-10,1.05e-09,1.06e-09,1.09e-09
75,0.62,5.48e-11,7.25e-11,1.27e-10,1.1e-11,1.46e-11,2.14e-11,5.06e-11,7.18e-11,1.12e-10,1.04e-09,1.05e-09,1.08e-09
80,0.62,5.43e-11,7.17e-11,1.25e-10,1.1e-11,1.46e-11,2.12e-11,4.99e-11,7.07e-11,1.1e-10,1.03e-09,1.04e-09,1.07e-09
85,0.62,5.38e-11,7.09e-11,1.24e-10,1.09e-11,1.45e-11,2.1e-11,4.92e-11,6.97e-11,1.09e-10,1.02e-09,1.03e-09,1.06e-09
90,0.62,5.33e-11,7.02e-11,1.22e-10,1.09e-11,1.44e-11,2.08e-11,4.85e-11,6.86e-11,1.07e-10,1.01e-09,1.02e-09,1.05e-09
95,0.62,5.28e-11,6.94e-11,1.2e-10,1.08e-11,1.43e-11,2.06e-11,4.78e-11,6.75e-11,1.06e-10,9.98e-10,1.01e-09,1.05e-09
100,0.62,5.23e-11,6.86e-11,1.18e-10,1.08e-11,1.42e-11,2.04e-11,4.71e-11,6.64e-11,1.05e-10,9.89e-10,1e-09,1.04e-09
