Temp,Vdd,fcnt_nd_slvt,fcnt_nd_lvt,fcnt_nd_rvt,fcnt_inv_slvt,fcnt_inv_lvt,fcnt_inv_rvt,fcnt_nr_slvt,fcnt_nr_lvt,fcnt_nr_rvt,fcnt_egu,fcnt_egv,fcnt_eg
-10,0.62,4.744e-11,6.119e-11,1.039e-10,9.29e-12,1.216e-11,1.708e-11,4.507e-11,6.16e-11,8.442e-11,7.152e-10,7.152e-10,7.109e-10
-5,0.62,4.711e-11,6.071e-11,1.028e-10,9.255e-12,1.21e-11,1.697e-11,4.451e-11,6.08e-11,8.374e-11,7.128e-10,7.128e-10,7.095e-10
0,0.62,4.678e-11,6.023e-11,1.016e-10,9.22e-12,1.204e-11,1.687e-11,4.395e-11,5.999e-11,8.301e-11,7.103e-10,7.103e-10,7.08e-10
5,0.62,4.644e-11,5.974e-11,1.004e-10,9.186e-12,1.198e-11,1.676e-11,4.34e-11,5.918e-11,8.226e-11,7.078e-10,7.078e-10,7.065e-10
10,0.62,4.609e-11,5.924e-11,9.925e-11,9.152e-12,1.192e-11,1.665e-11,4.284e-11,5.835e-11,8.148e-11,7.051e-10,7.051e-10,7.048e-10
15,0.62,4.574e-11,5.874e-11,9.808e-11,9.117e-12,1.187e-11,1.654e-11,4.229e-11,5.752e-11,8.069e-11,7.025e-10,7.025e-10,7.031e-10
20,0.62,4.537e-11,5.822e-11,9.691e-11,9.081e-12,1.181e-11,1.643e-11,4.174e-11,5.669e-11,7.989e-11,6.998e-10,6.998e-10,7.014e-10
25,0.62,4.5e-11,5.771e-11,9.574e-11,9.046e-12,1.175e-11,1.632e-11,4.119e-11,5.586e-11,7.908e-11,6.971e-10,6.971e-10,6.996e-10
30,0.62,4.462e-11,5.718e-11,9.458e-11,9.01e-12,1.169e-11,1.621e-11,4.065e-11,5.505e-11,7.826e-11,6.943e-10,6.943e-10,6.977e-10
35,0.62,4.424e-11,5.665e-11,9.342e-11,8.973e-12,1.163e-11,1.609e-11,4.012e-11,5.423e-11,7.744e-11,6.916e-10,6.916e-10,6.958e-10
40,0.62,4.385e-11,5.611e-11,9.226e-11,8.937e-12,1.158e-11,1.598e-11,3.958e-11,5.342e-11,7.661e-11,6.889e-10,6.889e-10,6.938e-10
45,0.62,4.346e-11,5.556e-11,9.11e-11,8.9e-12,1.152e-11,1.586e-11,3.906e-11,5.261e-11,7.578e-11,6.86e-10,6.86e-10,6.918e-10
50,0.62,4.306e-11,5.501e-11,8.995e-11,8.864e-12,1.146e-11,1.575e-11,3.853e-11,5.18e-11,7.494e-11,6.832e-10,6.832e-10,6.898e-10
