Temp,Vdd,fcnt_nd_slvt,fcnt_nd_lvt,fcnt_nd_rvt,fcnt_inv_slvt,fcnt_inv_lvt,fcnt_inv_rvt,fcnt_nr_slvt,fcnt_nr_lvt,fcnt_nr_rvt,fcnt_egu,fcnt_egv,fcnt_eg
60,0.72,2.536e-11,3.048e-11,4.405e-11,6.31e-12,7.65e-12,9.557e-12,2.164e-11,2.668e-11,3.582e-11,3.831e-10,3.747e-10,3.846e-10
65,0.72,2.514e-11,3.019e-11,4.35e-11,6.3e-12,7.634e-12,9.514e-12,2.134e-11,2.626e-11,3.538e-11,3.832e-10,3.748e-10,3.851e-10
70,0.72,2.493e-11,2.99e-11,4.296e-11,6.29e-12,7.617e-12,9.468e-12,2.105e-11,2.583e-11,3.493e-11,3.832e-10,3.747e-10,3.856e-10
75,0.72,2.472e-11,2.961e-11,4.242e-11,6.28e-12,7.601e-12,9.423e-12,2.076e-11,2.541e-11,3.448e-11,3.832e-10,3.747e-10,3.86e-10
80,0.72,2.451e-11,2.932e-11,4.188e-11,6.27e-12,7.584e-12,9.377e-12,2.047e-11,2.499e-11,3.403e-11,3.832e-10,3.746e-10,3.864e-10
85,0.72,2.43e-11,2.903e-11,4.135e-11,6.26e-12,7.567e-12,9.332e-12,2.019e-11,2.457e-11,3.358e-11,3.831e-10,3.745e-10,3.868e-10
90,0.72,2.41e-11,2.874e-11,4.081e-11,6.25e-12,7.551e-12,9.285e-12,1.991e-11,2.416e-11,3.312e-11,3.83e-10,3.744e-10,3.871e-10
95,0.72,2.39e-11,2.845e-11,4.028e-11,6.241e-12,7.535e-12,9.24e-12,1.964e-11,2.376e-11,3.267e-11,3.829e-10,3.743e-10,3.874e-10
100,0.72,2.369e-11,2.817e-11,3.975e-11,6.231e-12,7.52e-12,9.194e-12,1.937e-11,2.336e-11,3.221e-11,3.827e-10,3.741e-10,3.876e-10
105,0.72,2.349e-11,2.789e-11,3.922e-11,6.222e-12,7.504e-12,9.148e-12,1.911e-11,2.297e-11,3.174e-11,3.826e-10,3.739e-10,3.879e-10
110,0.72,2.329e-11,2.761e-11,3.87e-11,6.212e-12,7.488e-12,9.101e-12,1.886e-11,2.259e-11,3.128e-11,3.823e-10,3.737e-10,3.88e-10
115,0.72,2.31e-11,2.733e-11,3.817e-11,6.203e-12,7.473e-12,9.056e-12,1.861e-11,2.222e-11,3.081e-11,3.821e-10,3.734e-10,3.882e-10
120,0.72,2.291e-11,2.705e-11,3.765e-11,6.194e-12,7.458e-12,9.009e-12,1.836e-11,2.185e-11,3.034e-11,3.818e-10,3.731e-10,3.883e-10
125,0.72,2.272e-11,2.678e-11,3.714e-11,6.185e-12,7.443e-12,8.963e-12,1.812e-11,2.149e-11,2.987e-11,3.815e-10,3.728e-10,3.884e-10
130,0.72,2.252e-11,2.651e-11,3.663e-11,6.177e-12,7.429e-12,8.916e-12,1.788e-11,2.113e-11,2.939e-11,3.812e-10,3.725e-10,3.884e-10
-20,0.74,2.764e-11,3.349e-11,4.99e-11,6.342e-12,7.706e-12,9.895e-12,2.544e-11,3.179e-11,3.962e-11,3.62e-10,3.549e-10,3.557e-10
-15,0.74,2.745e-11,3.325e-11,4.942e-11,6.335e-12,7.695e-12,9.862e-12,2.515e-11,3.142e-11,3.935e-11,3.627e-10,3.555e-10,3.569e-10
-10,0.74,2.726e-11,3.3e-11,4.895e-11,6.327e-12,7.683e-12,9.828e-12,2.486e-11,3.105e-11,3.906e-11,3.634e-10,3.561e-10,3.581e-10
-5,0.74,2.706e-11,3.275e-11,4.846e-11,6.32e-12,7.672e-12,9.794e-12,2.456e-11,3.067e-11,3.877e-11,3.64e-10,3.567e-10,3.593e-10
0,0.74,2.686e-11,3.249e-11,4.797e-11,6.312e-12,7.66e-12,9.759e-12,2.426e-11,3.029e-11,3.846e-11,3.646e-10,3.572e-10,3.604e-10
5,0.74,2.666e-11,3.223e-11,4.747e-11,6.304e-12,7.647e-12,9.723e-12,2.397e-11,2.99e-11,3.814e-11,3.651e-10,3.577e-10,3.615e-10
10,0.74,2.645e-11,3.197e-11,4.696e-11,6.297e-12,7.635e-12,9.686e-12,2.368e-11,2.95e-11,3.782e-11,3.656e-10,3.581e-10,3.625e-10
15,0.74,2.625e-11,3.17e-11,4.645e-11,6.289e-12,7.622e-12,9.649e-12,2.338e-11,2.911e-11,3.748e-11,3.661e-10,3.585e-10,3.634e-10
20,0.74,2.605e-11,3.144e-11,4.594e-11,6.281e-12,7.609e-12,9.611e-12,2.31e-11,2.871e-11,3.713e-11,3.666e-10,3.589e-10,3.644e-10
25,0.74,2.584e-11,3.117e-11,4.543e-11,6.273e-12,7.596e-12,9.573e-12,2.281e-11,2.832e-11,3.677e-11,3.669e-10,3.593e-10,3.653e-10
30,0.74,2.564e-11,3.089e-11,4.491e-11,6.265e-12,7.582e-12,9.534e-12,2.252e-11,2.792e-11,3.64e-11,3.673e-10,3.596e-10,3.661e-10
35,0.74,2.543e-11,3.062e-11,4.44e-11,6.257e-12,7.568e-12,9.495e-12,2.224e-11,2.753e-11,3.602e-11,3.676e-10,3.599e-10,3.669e-10
40,0.74,2.523e-11,3.035e-11,4.388e-11,6.25e-12,7.554e-12,9.455e-12,2.195e-11,2.714e-11,3.563e-11,3.679e-10,3.601e-10,3.677e-10
45,0.74,2.503e-11,3.007e-11,4.337e-11,6.241e-12,7.54e-12,9.415e-12,2.167e-11,2.675e-11,3.523e-11,3.682e-10,3.603e-10,3.684e-10
50,0.74,2.482e-11,2.98e-11,4.286e-11,6.234e-12,7.527e-12,9.375e-12,2.139e-11,2.635e-11,3.482e-11,3.684e-10,3.605e-10,3.691e-10
55,0.74,2.462e-11,2.953e-11,4.235e-11,6.225e-12,7.513e-12,9.334e-12,2.111e-11,2.596e-11,3.441e-11,3.686e-10,3.607e-10,3.697e-10
60,0.74,2.442e-11,2.925e-11,4.184e-11,6.218e-12,7.499e-12,9.293e-12,2.083e-11,2.557e-11,3.4e-11,3.688e-10,3.608e-10,3.703e-10
65,0.74,2.422e-11,2.898e-11,4.133e-11,6.208e-12,7.486e-12,9.252e-12,2.055e-11,2.517e-11,3.358e-11,3.689e-10,3.609e-10,3.709e-10
70,0.74,2.402e-11,2.871e-11,4.083e-11,6.2e-12,7.471e-12,9.21e-12,2.027e-11,2.478e-11,3.316e-11,3.69e-10,3.61e-10,3.714e-10
75,0.74,2.382e-11,2.843e-11,4.032e-11,6.192e-12,7.457e-12,9.168e-12,2e-11,2.439e-11,3.274e-11,3.691e-10,3.61e-10,3.719e-10
80,0.74,2.363e-11,2.816e-11,3.982e-11,6.185e-12,7.444e-12,9.126e-12,1.973e-11,2.399e-11,3.232e-11,3.692e-10,3.611e-10,3.724e-10
85,0.74,2.343e-11,2.789e-11,3.932e-11,6.177e-12,7.431e-12,9.084e-12,1.945e-11,2.36e-11,3.189e-11,3.692e-10,3.611e-10,3.728e-10
90,0.74,2.324e-11,2.762e-11,3.882e-11,6.168e-12,7.417e-12,9.042e-12,1.919e-11,2.321e-11,3.147e-11,3.692e-10,3.61e-10,3.732e-10
95,0.74,2.305e-11,2.736e-11,3.832e-11,6.162e-12,7.403e-12,8.999e-12,1.892e-11,2.282e-11,3.104e-11,3.692e-10,3.61e-10,3.736e-10
100,0.74,2.286e-11,2.709e-11,3.783e-11,6.154e-12,7.39e-12,8.956e-12,1.866e-11,2.244e-11,3.061e-11,3.692e-10,3.609e-10,3.739e-10
105,0.74,2.268e-11,2.683e-11,3.733e-11,6.146e-12,7.376e-12,8.913e-12,1.841e-11,2.206e-11,3.017e-11,3.691e-10,3.608e-10,3.742e-10
110,0.74,2.249e-11,2.657e-11,3.684e-11,6.139e-12,7.365e-12,8.871e-12,1.816e-11,2.168e-11,2.974e-11,3.69e-10,3.607e-10,3.745e-10
115,0.74,2.231e-11,2.631e-11,3.635e-11,6.131e-12,7.352e-12,8.828e-12,1.791e-11,2.132e-11,2.93e-11,3.688e-10,3.605e-10,3.747e-10
120,0.74,2.213e-11,2.605e-11,3.587e-11,6.124e-12,7.339e-12,8.786e-12,1.767e-11,2.096e-11,2.886e-11,3.687e-10,3.603e-10,3.749e-10
125,0.74,2.195e-11,2.579e-11,3.539e-11,6.118e-12,7.327e-12,8.743e-12,1.743e-11,2.06e-11,2.842e-11,3.684e-10,3.601e-10,3.751e-10
130,0.74,2.177e-11,2.554e-11,3.491e-11,6.111e-12,7.315e-12,8.701e-12,1.72e-11,2.026e-11,2.798e-11,3.682e-10,3.598e-10,3.752e-10
-20,0.76,2.66e-11,3.212e-11,4.743e-11,6.235e-12,7.535e-12,9.619e-12,2.441e-11,3.037e-11,3.76e-11,3.48e-10,3.412e-10,3.419e-10
-15,0.76,2.642e-11,3.19e-11,4.698e-11,6.229e-12,7.527e-12,9.588e-12,2.413e-11,3.002e-11,3.737e-11,3.487e-10,3.418e-10,3.432e-10
-10,0.76,2.623e-11,3.166e-11,4.653e-11,6.223e-12,7.517e-12,9.557e-12,2.385e-11,2.966e-11,3.712e-11,3.494e-10,3.425e-10,3.444e-10
-5,0.76,2.604e-11,3.142e-11,4.607e-11,6.218e-12,7.508e-12,9.525e-12,2.357e-11,2.93e-11,3.685e-11,3.501e-10,3.431e-10,3.456e-10
0,0.76,2.586e-11,3.118e-11,4.561e-11,6.212e-12,7.497e-12,9.491e-12,2.329e-11,2.893e-11,3.657e-11,3.507e-10,3.437e-10,3.467e-10
5,0.76,2.567e-11,3.094e-11,4.513e-11,6.206e-12,7.488e-12,9.457e-12,2.301e-11,2.856e-11,3.627e-11,3.513e-10,3.442e-10,3.478e-10
10,0.76,2.548e-11,3.069e-11,4.466e-11,6.2e-12,7.478e-12,9.423e-12,2.273e-11,2.819e-11,3.597e-11,3.519e-10,3.447e-10,3.489e-10
15,0.76,2.529e-11,3.044e-11,4.418e-11,6.194e-12,7.467e-12,9.389e-12,2.246e-11,2.781e-11,3.564e-11,3.524e-10,3.452e-10,3.499e-10
20,0.76,2.509e-11,3.019e-11,4.369e-11,6.187e-12,7.456e-12,9.354e-12,2.218e-11,2.744e-11,3.531e-11,3.529e-10,3.456e-10,3.509e-10
25,0.76,2.49e-11,2.993e-11,4.321e-11,6.181e-12,7.445e-12,9.319e-12,2.191e-11,2.707e-11,3.497e-11,3.534e-10,3.46e-10,3.518e-10
30,0.76,2.471e-11,2.968e-11,4.273e-11,6.176e-12,7.434e-12,9.283e-12,2.164e-11,2.67e-11,3.462e-11,3.538e-10,3.464e-10,3.527e-10
35,0.76,2.452e-11,2.942e-11,4.225e-11,6.169e-12,7.423e-12,9.247e-12,2.137e-11,2.633e-11,3.425e-11,3.542e-10,3.468e-10,3.535e-10
